2021-06-16 04:40:11 - Epoch: 0, Step: 10/506, Avg Loss: 13.0529, Avg Regression Loss 4.1309, Avg Classification Loss: 8.9219
2021-06-16 04:40:21 - Epoch: 0, Step: 20/506, Avg Loss: 9.1432, Avg Regression Loss 4.0162, Avg Classification Loss: 5.1270
2021-06-16 04:40:54 - Epoch: 0, Step: 30/506, Avg Loss: 8.2664, Avg Regression Loss 3.1652, Avg Classification Loss: 5.1012
2021-06-16 04:41:03 - Epoch: 0, Step: 40/506, Avg Loss: 8.1829, Avg Regression Loss 3.4239, Avg Classification Loss: 4.7590
2021-06-16 04:41:14 - Epoch: 0, Step: 50/506, Avg Loss: 8.1786, Avg Regression Loss 3.0901, Avg Classification Loss: 5.0884
2021-06-16 04:41:22 - Epoch: 0, Step: 60/506, Avg Loss: 7.7889, Avg Regression Loss 2.5328, Avg Classification Loss: 5.2561
2021-06-16 04:41:30 - Epoch: 0, Step: 70/506, Avg Loss: 8.5287, Avg Regression Loss 3.3658, Avg Classification Loss: 5.1628
2021-06-16 04:41:37 - Epoch: 0, Step: 80/506, Avg Loss: 7.9250, Avg Regression Loss 3.0494, Avg Classification Loss: 4.8756
2021-06-16 04:41:46 - Epoch: 0, Step: 90/506, Avg Loss: 8.0521, Avg Regression Loss 3.1645, Avg Classification Loss: 4.8876
2021-06-16 04:41:55 - Epoch: 0, Step: 100/506, Avg Loss: 7.5789, Avg Regression Loss 2.9689, Avg Classification Loss: 4.6100
2021-06-16 04:42:03 - Epoch: 0, Step: 110/506, Avg Loss: 6.8735, Avg Regression Loss 2.3392, Avg Classification Loss: 4.5343
2021-06-16 04:42:11 - Epoch: 0, Step: 120/506, Avg Loss: 8.1066, Avg Regression Loss 3.0973, Avg Classification Loss: 5.0093
2021-06-16 04:42:18 - Epoch: 0, Step: 130/506, Avg Loss: 6.9403, Avg Regression Loss 2.2810, Avg Classification Loss: 4.6593
2021-06-16 04:42:27 - Epoch: 0, Step: 140/506, Avg Loss: 6.9194, Avg Regression Loss 2.4186, Avg Classification Loss: 4.5008
2021-06-16 04:42:35 - Epoch: 0, Step: 150/506, Avg Loss: 6.7915, Avg Regression Loss 2.1465, Avg Classification Loss: 4.6450
2021-06-16 04:42:44 - Epoch: 0, Step: 160/506, Avg Loss: 7.2854, Avg Regression Loss 2.7612, Avg Classification Loss: 4.5242
2021-06-16 04:42:52 - Epoch: 0, Step: 170/506, Avg Loss: 7.2890, Avg Regression Loss 2.6523, Avg Classification Loss: 4.6367
2021-06-16 04:43:00 - Epoch: 0, Step: 180/506, Avg Loss: 7.0859, Avg Regression Loss 2.5421, Avg Classification Loss: 4.5439
2021-06-16 04:43:10 - Epoch: 0, Step: 190/506, Avg Loss: 7.6682, Avg Regression Loss 2.9415, Avg Classification Loss: 4.7267
2021-06-16 04:43:19 - Epoch: 0, Step: 200/506, Avg Loss: 6.9900, Avg Regression Loss 2.3973, Avg Classification Loss: 4.5928
2021-06-16 04:43:28 - Epoch: 0, Step: 210/506, Avg Loss: 7.0857, Avg Regression Loss 2.6515, Avg Classification Loss: 4.4342
2021-06-16 04:43:41 - Epoch: 0, Step: 220/506, Avg Loss: 6.3116, Avg Regression Loss 1.9671, Avg Classification Loss: 4.3445
